category,nameEng,nameIta,namePorBR,image,id,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11
Fruits,Apricot,Albicocche,Damasco,apricot,0,,,,,,x,x,,,,,
Fruits,Cherries,Ciliegie,Cereja,cherry,1,,,,,x,x,x,,,,,
Fruits,Clementine,Mandarino,Tangerina,clementine,2,x,x,x,,,,,,,x,x,x
Fruits,Figs,Fichi,Figo,Figs,3,,,,,,,,,,x,x,
Fruits,Grapes,Uva,Uva,Grapes,4,,,,,,,x,x,x,x,x,
Fruits,Melons,Meloni,Melão,Melons,5,,,,,x,x,x,x,x,x,,
Fruits,Oranges,Arance,Laranja,Oranges,6,x,x,x,,,,,,,x,x,x
Fruits,Peach,Pesche,Pêssego,Peach,7,,,,,,x,x,x,x,,,
Fruits,Persimmon,Cachi,Caqui,Persimmon,8,x,x,x,,,,,,,x,x,x
Fruits,Plum,Susine,Ameixa,Plum,9,,,,,,x,x,x,x,,,
Fruits,Strawberries,Fragole,Morango,Strawberries,10,,,,x,x,x,x,x,x,x,,
Fruits,Watermelons,Anguria,Melancia,Watermelons,11,,,,,,x,x,x,,,,
Veggies,Leeks,Porri,Alho-poró,Leeks,12,x,x,,,,,,,,x,x,x
Veggies,Artichokes,Carciofi,Alcachofra,artichokes,13,x,x,x,x,x,,,,,,,
Veggies,Cauliflowers,Cavolfiori,Couve-flor,Cauliflowers,14,x,x,x,,,,,x,x,x,x,x
Fruits,Pears,Pere,Pera,Pears,15,x,x,x,x,x,x,x,x,x,x,,
Veggies,Cucumbers,Cetrioli,Pepino,Cucumbers,16,x,x,,,,,,x,x,x,x,x
Veggies,Pumpkin,Zucche,Abóbora,Pumpkins,18,x,x,x,,,,,,,x,x,x
Fruits,Kiwi,Kiwi,Kiwi,Kiwi,19,x,x,x,,,,,,,x,x,x
Veggies,Turnips,Rape,Nabo,Turnips,20,x,x,x,x,,,,,,,x,x
Veggies,Garlic,Aglio,Alho,Garlic,21,x,,,,,,x,x,x,x,x,x
Fruits,Apples,Mele,Maçã,apples,22,x,x,x,,,,,x,x,x,x,x
Veggies,Broccoli,Broccoli,Brócolis,broccoli,23,x,x,x,,,,,x,x,x,x,x
Veggies,Celery,Sedano,Aipo,Celery,24,x,x,x,,,,,,,x,x,x
Veggies,Aubergines,Melanzane,Berinjela,aubergines,25,,x,x,x,x,x,x,x,x,x,,
Veggies,Green beans,Fagiolini,Vagem,GreenBeans,26,,,,x,x,x,x,x,x,,,
Veggies,Zucchini,Zucchini,Abobrinha,Zucchini,27,,,,x,x,x,x,x,x,x,,
Fruits,Raspberries,Lamponi,Framboesa,Raspberries,28,,,,,,x,x,x,x,x,,
Fruits,Blueberries,Mirtili,Mirtilo,blueberries,29,,,,,,x,x,x,x,,,
Veggies,Peppers,Peperoni,Pimentão,Peppers,30,,,,,x,x,x,x,x,,,
Veggies,Tomatoes,Pomodori,Tomate,Tomatoes,31,,,,,x,x,x,x,x,,,
Veggies,Onions,Cipolle,Cebola,Onions,32,,,,,,,x,x,x,x,,
Fruits,Lemons,Limoni,Limão,Lemons,33,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Spinach,Spinaci,Espinafre,Spinach,34,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Lettuce,Insalata,Alface,lettuce,35,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Herbs,Erbe,Erva,Herbs,36,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Potatoes,Patate,Batata,Potatoes,37,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Fennels,Finocchi,Funcho,Fennels,38,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Chards,Bietole,Acelga,Chards,39,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Legumes,Legumi Secchi,Leguminosa,Legumes,40,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Endives,Cicoria,Chicória,Endives,41,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Carrots,Carote,Cenoura,Carrots,42,x,x,x,x,x,x,x,x,x,x,x,x